ArticleID,SentenceID,StrLabel,Label,Anchor,Publisher
64146,561110,Liberal,1,Rittenhouse said Jeanine Pirro is an innocent man he’s looking to help he’s all-American and he’s trying to just make sure his town is safe,Washington post
58783,364502,Liberal,1,Under the agreement made public on Monday Mr Black agreed to plead no contest to a noncriminal county ordinance violation of contributing to the delinquency of a minor his lawyer Anthony Cotton said during a brief hearing,NY Times
55273,724958,Conservative,0,Republicans are having a lively primary in this race too with Attorney General Ken Paxton drawing challenges from Land Commissioner George P,Houston Chronicle
11667,364513,Liberal,1,Dunikowski said that in interviews with the police Travis McMichael said that Mr Arbery attacked him and that he was acting in self-defense,NY Times
58783,888802,Liberal,1,During Mr Rittenhouse’s trial Mr Black told the court that he bought the gun on a trip with Mr Rittenhouse to northern Wisconsin where Mr Black’s family owned a hunting property and stored it at his stepfather’s house in Kenosha for Mr Rittenhouse,NY Times
21173,954374,Conservative,0,Rittenhouse sat flanked by several police officers a few feet from his mother Wendy Rittenhouse in a courtroom where journalists and spectators were kept several feet apart because of the coronavirus pandemic,Chicago Tribune
82110,135176,Conservative,0,I would certainly hope he does not become a prop for those who would like to abuse him for political gain then throw him out,Chicago Tribune
80310,725005,Conservative,0,A Wisconsin judge on Friday Jan   approved an agreement by lawyers to destroy the assault-style rifle that Rittenhouse used to shoot three people during a  street protest,Houston Chronicle
89348,135182,Liberal,1,The sentences imposed by a judge Friday in Glynn County Superior Court concluded the state of Georgias criminal case in the slaying of -year-old Arbery in which a jury returned guilty verdicts the day before Thanksgiving,Los Angles
36244,299024,Liberal,1,With an unsettling video playing a starring role the trial will bear similarities to that of Derek Chauvin the former Minneapolis police officer who was found guilty of murder in April after a bystander video showed him kneeling for roughly nine minutes on the neck of George Floyd an unarmed Black man,NY Times
68970,495644,Liberal,1,I would respectfully submit to you that Roddie Bryans presence is absolutely superfluous and irrelevant to the tragic death of Ahmaud Arbery Gough said,CNN
53634,823325,Liberal,1,Officials on Friday said that the video had been a very important piece of evidence in moving forward with criminal charges,NY Times
70461,856096,Liberal,1,Videos show final momentsOn Wednesday and Thursday prosecutors played about a dozen videos that taken together showed what happened before during and after Rittenhouse killed two men and wounded another in Kenosha,CNN
29416,135200,Liberal,1,Are we expecting more of her because she is a woman Do we think she ought to prove herselfPeople get off your high horses stop sowing division and start thinking about what you can do that is good for all Americans,Los Angles
94335,233510,Liberal,1,Nearby were two White men with bloody hands who told police they had chased Arbery believing he was behind neighborhood break-ins — but never meant to kill him,Washington post
70461,495654,Liberal,1,Juror in Kyle Rittenhouse trial dismissed for telling joke about police shooting of Jacob Blake             A juror was dismissed in Kyle Rittenhouses homicide trial Thursday morning after he told a joke to a deputy earlier this week about the police shooting of Jacob Blake,CNN
36244,954409,Liberal,1,The three pursuers walked free for weeks afterward while one of the prosecutors handling the case initially determined that they had broken no laws,NY Times
32624,135211,Liberal,1,The two-and-a-half-week selection process ended in mid-November with prosecutors accusing defense attorneys of disproportionately striking qualified Black jurors and basing some of their strikes on race,CNN
61559,987182,Liberal,1,I’d have them imagine Travis McMichael jogging through one of Brunswick’s majority-Black neighborhoods and being physically detained by three Black men two of whom are brandishing firearms and one of whom ultimately kills him,Washington post
95540,593968,Liberal,1,He had worked as a lifeguard in Kenosha was part of a police explorer program and knew CPR and basic life support according to his testimony,CNN
55236,626737,Conservative,0,He traveled to Kenosha as one in a mass of armed civilians that arrived in the city as it was shaken by turmoil after a White police officer shot Jacob Blake a Black man,Houston Chronicle
43163,528439,Liberal,1,The definition of an active shooter is somebody with a plan to inflict multiple casualties usually out of anger or animus toward a group Richards said,Washington post
77727,987192,Liberal,1,Kenosha was a small city within easy reach of many larger ones and its local activists by their own accounts were inexperienced and ill equipped for the sudden influx of both allies and opportunists people for whom Kenosha was not a hometown but a battlefield,NY Times
23199,299067,Liberal,1,He argued that Rittenhouse pursued Rosenbaum the first person he shot and that Rosenbaum was not close enough to grab Rittenhouse’s rifle before he fell to the ground,Washington post
38458,692286,Conservative,0,It shows Arbery jogging down the street in a suburban neighborhood and attempting to run around two armed white men and their pickup truck which is stopped in the middle of the road,Fox
59733,659523,Liberal,1,The first shot went through Arberys right palm consistent with Arbery grabbing the gun barrel Barnhill who said he saw an autopsy report wrote,CNN
72633,430158,Conservative,0,TikTok creators are offering their opinions on the trial in reaction videos with their images transposed over videos of the trial,Houston Chronicle
44438,790608,Liberal,1,Hogue a lawyer for one of the defendants said that Mr Arbery had become a recurring nighttime intruder — and that is frightening and unsettling,NY Times
82210,233554,Liberal,1,The trial featured more than a dozen videos from the night of August   showing what happened before during and after the shootings,CNN
96621,856147,Liberal,1,Gough objected again Monday when Jackson made his first appearance in the gallery of the courtroom in support of the Arbery family,CNN
50088,888917,Liberal,1,Here are some key exchanges from the courtroom•	Thomas Binger the lead prosecutor pressed Mr Rittenhouse about why he aimed a rifle at Joseph Rosenbaum who had run toward him but was unarmed,NY Times
43275,299095,Liberal,1,Global network co-founder Alicia Garza who now runs the Black Futures Lab a think tank working to increase Black political power said its hard for most people to understand what it takes to manage a major organization,Los Angles
44790,757851,Liberal,1,The onetime police youth cadet was  when he went to Kenosha with an AR-style rifle and a medical kit in what he said was an effort to safeguard property from rioting that broke out over the shooting of Jacob Blake a Black man by a white Kenosha police officer,Los Angles
80239,888931,Liberal,1,The evidence shows overwhelmingly that Travis McMichael honestly and lawfully attempted to detain Ahmaud Arbery according to the law and shot and killed him in self-defense Rubin said,CNN
47612,659556,Conservative,0,That shooting and the response in Kenosha — protests that turned destructive — became part of the national reckoning over police use of force against Black people following George Floyds death in Minneapolis the previous May at the hands of police,Houston Chronicle
80510,954481,Liberal,1,Despite all that it means to be a Black man in America — all the challenges and dangers that they face — Arbery evoked optimism while all around him a storm was gathering,Washington post
61734,200825,Liberal,1,Most of the facts of what happened that night are not up for debate -- rather the heart of the trial is the analysis of Rittenhouses actions and whether they can be considered reasonable,CNN
89225,102525,Liberal,1,But Trump’s campaign ads using these images and even images from incidents outside the United States as evidence of Biden’s America — coupled with the media’s insatiable appetite for violent scenes — give the impression of coast-to-coast conflagrations,Washington post
31865,462985,Liberal,1,And it was turn his back to a man with a shotgun or fight with his bare hands against a man with a shotgun and he chose to fight,Washington post
18065,266381,Liberal,1,The trial brought to the fore issues of vigilantism racial injustice and guns but the jury’s job was not to decide those heated questions but only to render a unanimous decision on each of the counts based solely on the evidence presented in court and adhering to the judge’s instructions,Washington post
31865,364689,Liberal,1,Todd Rutherford D a criminal defense lawyer and former prosecutor shares concerns about the citizen’s arrest law but said it simply has not been a priority,Washington post
92125,528530,Conservative,0,In a statement Monday evening Assistant Attorney General Kristen Clarke reiterated that the Justice Department entered the plea agreement only after the victims attorneys informed me that the family was not opposed to it and added that officials respect the judges decision,Houston Chronicle
88492,561303,Liberal,1,Mr Rittenhouse told the jury that he had feared for his life and acted in self-defense when he shot three people,NY Times
24982,856220,Liberal,1,The Georgia Bureau of Investigation said that night that it would be taking over the case at Mr Durden’s request,NY Times
94335,659620,Liberal,1,This is not a case of white racist vigilantes who upon seeing a Black man innocently jogging down the street in their mostly white neighborhood decide to arm themselves jump in a pickup truck chase trap and then execute him because he’s Black attorney Frank Hogue wrote in an email,Washington post
29812,987301,Liberal,1,Her youngest son was shot during a Sunday afternoon jog back in February by two men who looked at him and saw a monster,Washington post
35460,790694,Liberal,1,The McMichaels were both sentenced to life in prison plus  years Bryan was given a suspended sentence meaning that if he is released from prison he would serve further time on probation,Washington post
66385,987307,Liberal,1,GBI investigator confirms Ahmaud Arbery was shot at close range based on the size of the holes in his shirt             A Georgia Bureau of Investigations firearms examiner confirmed Monday Ahmaud Arbery was shot at close range,CNN
39835,757932,Liberal,1,Wisconsin is an open-carry state meaning that people can carry legal firearms in public without a permit unless they are otherwise prohibited from possessing them,NY Times
59733,889008,Liberal,1,Benjamin Crump an attorney for Arberys father said it was outrageous that it took more than two months for the father and son to be arrested,CNN
63137,921778,Liberal,1,Some condemned the teenager as a dangerous vigilante others rallied behind him after he was accused of killing two men and injuring a third during unrest after the police shooting of Jacob Blake a Black man,Washington post
31287,299187,Conservative,0,KYLE RITTENHOUSE FOUND NOT GUILTY ON ALL COUNTS IN KENOSHA TRIALRittenhouse attorney Marc Richards on Friday told reporters that he thinks the teenager does feel remorse after fatally shooting two people more than a year ago,Fox
31898,823477,Liberal,1,In Trump’s telling the very act of apparently seeking to dispense vigilante justice — and thus provoking a situation that led to the killing — amid violence connected to racial justice protests is precisely what should never have been subjected to rule-of-law scrutiny,Washington post
28774,692406,Conservative,0,FILE-This combination of booking photos provided by the Glynn County Ga Detention Center shows from left Travis McMichael his father Gregory McMichael and William Roddie Bryan Jr Glynn County Detention Center via AP File Glynn County Detention Center via AP FileThe grieving mother who attended every day of the trial said that she promised her son when she buried him she would get him justice,Fox
27494,692410,Liberal,1,The law now says a detained offender must be released if law enforcement does not arrive within an hour of a call by the person conducting the citizens arrest,CNN
88684,921787,Liberal,1,The McMichaels and Bryan made that impossible and the fact that they now might spend the rest of their lives in prison is little comfort to a family that will have an empty seat at the Thanksgiving table this week and in all the years to come,Washington post
35971,790721,Liberal,1,Prosecutor Linda Dunikoski told jurors in her closing argument that the three White men who chased Arbery in pickup trucks jumped to conclusions about the unarmed -year-old because he was a Black man running down the street,Washington post
82224,266444,Liberal,1,On both his prime-time show on Fox News and his propaganda documentaries running on the streaming service Fox Nation Carlson has become one of the most prominent promoters of the narrative now defining conservatism in the US that right-wing violence is not a problem that White supremacy is a hoax and that the real threat to democracy is the Democratic-Party-Deep-State alliance,CNN
94335,102612,Liberal,1,The new footage has underscored long-standing concerns with how authorities handled Arbery’s fatal shooting in February along with a litany of killings by police this year that sparked outrage and accusations of racism,Washington post
80239,823511,Liberal,1,Outside Arberys mother told reporters it was the first time shed seen the video of the shooting in its entirety,CNN
20195,561368,Liberal,1,Rittenhouse was  when he went to Kenosha from his home in Antioch Illinois in what he said was an effort to protect property from rioters in the days after a Black man Jacob Blake was shot by a white Kenosha police officer,Los Angles
75972,397532,Conservative,0,The video shows Travis McMichael confronting Arbery and then shooting him as he throws punches and grapples for the gun,Chicago Tribune
73580,233694,Liberal,1,Roderic Nohilly a police sergeant in Georgias Glynn County also testified Gregory McMichael did not know during police interviews whether Arbery had committed a crime prior to their pursuit of him,CNN
62695,102631,Liberal,1,He was also facing a misdemeanor charge of illegally carrying a weapon -- the charge that legal experts had said was the most likely to result in a conviction,Los Angles
75972,823529,Conservative,0,Walmsley singled out a comment Gough made to back up his Black pastors remark last week If a bunch of folks came in here dressed like Colonel Sanders with white masks sitting in the back,Chicago Tribune
58783,594154,Liberal,1,Mr Black  bought an AR--style rifle in May  for Mr Rittenhouse who was then  and too young to buy the gun legally,NY Times
24539,266479,Conservative,0,The use and abuse of citizen’s arrestIn the course of a two-week trial jurors heard evidence from more than two dozen witnesses,Houston Chronicle
72878,299251,Conservative,0,Post Tribune NewsletterTwice-weekly  News updates from Northwest Indiana delivered every Monday and WednesdayThe judge’s decision stunned prosecutors who argued his interpretation of the law does not make sense a Chicago Tribune story states,Chicago Tribune
77727,430324,Liberal,1,Its creator a -year-old private investigator and former Kenosha alderman named Kevin Mathewson would later insist it had not really been an organization just a Facebook page and he had given a few other people administrator access to it,NY Times
11220,823540,Conservative,0,Verdict reached Kyle Rittenhouse cleared of all charges in Kenosha shootingsKyle Rittenhouse was acquitted of all charges Friday after pleading self-defense in the deadly Kenosha shootings,Houston Chronicle
25289,233719,Conservative,0,It could be devastating for the defense said Michael Schiavone a Savannah criminal defense attorney who isn’t involved in the case,Chicago Tribune
94335,561406,Liberal,1,Prosecutors say Arbery was jogging in a residential neighborhood of coastal Georgia when three men now charged with murder chased and fatally shot him,Washington post
53634,135426,Liberal,1,Investigators Call Evidence in the Ahmaud Arbery Shooting ‘Extremely Upsetting’A father and son were arrested in connection with the Feb  killing of Mr Arbery which had led to protests and,NY Times
49712,725252,Conservative,0,He was acquitted last year on all charges connected to the  killing of two men during unrest in Kenosha Wisconsin,Fox
96621,659716,Liberal,1,Bryan he said cooperated with law enforcement immediately after the shooting -- including by turning over the cell phone video he recorded of the pursuit and shooting,CNN
55236,233738,Conservative,0,Racial justice activists decried the outcome which the American Civil Liberties Union said stemmed from the deep roots of white supremacy in our societys institutions,Houston Chronicle
48979,594190,Liberal,1,For Bryan Walmsley imposed additional imprisonment sentences of  years for his false imprisonment conviction and  years for his criminal attempt to commit a felony conviction,CNN
59733,561423,Liberal,1,Its a travesty of justice that they enjoyed their freedom for  days after taking the life of a young black man who was simply jogging,CNN
75948,495890,Conservative,0,Judge Bruce Schroeder reprimands Assistant District Attorney Thomas Binger about a line of questioning while Binger cross-examines Kyle Rittenhouse during the trial at the Kenosha County Courthouse in Kenosha on Nov,Chicago Tribune
28774,692498,Conservative,0,AP PhotoStephen  Morton PoolCooper-Jones and her family pushed the judge to impose the maximum at the three White mens sentencing,Fox
84531,954644,Conservative,0,Investigators said Rittenhouse was armed with a Smith  Wesson AR--style rifle when he and others reportedly went to protect Kenosha businesses from being vandalized during protests that broke out following the shooting of Jacob Blake,Fox
77727,659734,Liberal,1,Local and state authorities have to get a grip on this the source said because if it moves to the suburbs more people will die,NY Times
77727,528680,Liberal,1,It ricocheted around the online platforms themselves among people who by the third day Aug  were convinced they had to do something — who when reaching for an explanation of what they had done after the fact would often reach for a video,NY Times
75127,102697,Liberal,1,Many who saw the video and who followed the evidence in the trial might say that this was the only rational and equitable verdict,NY Times
77727,790826,Liberal,1,Since the National Guard moved into Kenosha Wisconsin two days ago there has been NO FURTHER VIOLENCE not even a small problem Trump tweeted later that week shortly before traveling to Kenosha to tour the wreckage,NY Times
31898,594220,Liberal,1,In the days after Rittenhouse  was acquitted of homicide in killing two and wounding a third amid unrest in Kenosha Wisconsin two strains of Rittenhouse lionization developed on the right,Washington post
77727,233779,Liberal,1,He dutifully denounced the brutal death of George Floyd but also the acts of domestic terror that followed his killing never mentioning Black Lives Matter and instead blaming antifa and others who were leading instigators of this violence,NY Times
31287,790839,Conservative,0,Kyle Rittenhouse faces an uncertain future after being acquitted of all five charges against him including first-degree intentional homicide in a Kenosha Wisconsin courtroom Friday,Fox
64391,823608,Liberal,1,Mr Arbery’s family believes that his criminal past should have no bearing on whether he should have been chased and killed especially by people who were not active law enforcement on the mere suspicion that he might have engaged in a property crime,NY Times
77727,692537,Liberal,1,There were posts on Facebook saying ‘We’re going to go out to the county where the white folks live in the rich white neighborhoods’ and stuff like that she said,NY Times
94044,528706,Liberal,1,Our agenda is that the God we serve will give strength to this woman and this man and this family and an agenda that God would give us justice in this courtroom the Rev,CNN
87375,135495,Liberal,1,The claim about a plea deal request comes as defense attorneys are expected to begin closing arguments Monday after  days of court proceedings and testimony from more than  witnesses and investigators,CNN
64146,823625,Liberal,1,And don’t be surprised if Trumpist candidates start seeking Rittenhouse’s endorsement and asking him to appear on the campaign trail with them,Washington post
97949,201035,Liberal,1,In August  Kline was fired after he allegedly stalked a woman with whom he had been in a romantic relationship following her to another man’s home,Washington post
53530,364875,Liberal,1,Otherwise before a final jury is seated lawyers on both sides will have a limited number of strikes that let them cut potential jurors they may believe are unfavorable,Los Angles
94335,823630,Liberal,1,In the body-camera footage critics see a victim treated as a suspect and culprits quickly treated as victims who acted in self-defense protecting their neighborhood and their own lives,Washington post
55236,856398,Conservative,0,Rittenhouse appeared in Kenoshas streets with an AR--style rifle in August  saying he wanted to help protect businesses amid the unrest,Houston Chronicle
43471,201040,Conservative,0,Rittenhouse said that he worried Rosenbaum would take his gun and use it on the teenager and others growing emotional when arguing he didnt want to have to shoot him,Houston Chronicle
75127,299344,Liberal,1,Later my kids grew up giving thanks with our neighbors who have invited us to their home for more than two decades,NY Times
72633,987471,Conservative,0,The clips of the Rittenhouse trial on TikTok are often chopped up and reposted by news organizations and by armchair trial watchers mixed in with commentary,Houston Chronicle
91439,659797,Liberal,1,The trial featured more than a dozen videos from the night that showed what happened before during and after the shootings,CNN
54759,725336,Conservative,0,A neighbor William Roddie Bryan joined the chase in his own truck and recorded cellphone video of Travis McMichael blasting Arbery with a shotgun,Houston Chronicle
39835,364891,Liberal,1,On the second night of protests there was widespread destruction in the city’s downtown and Uptown neighborhood where several blocks of businesses were looted and burned to the ground,NY Times
10236,495966,Liberal,1,The first incident related to questions about Rittenhouses post-arrest silence and the second was about an incident two weeks before the shootings that the judge said would not be permitted into evidence,CNN
17691,725357,Liberal,1,As the verdict for Gregory McMichael was read she pulled off her sweater to reveal a bright orange outfit -- a self-styled prison jumpsuit -- with a message emblazoned on her chest Justice ServedThen with Bryans conviction she raised her fist to the air,Los Angles
72887,201070,Conservative,0,Prosecutors argue evidence from drone video shows Rittenhouse pointing his weapon at a man and woman just before Rosenbaum ran after him,Chicago Tribune
83424,823676,Conservative,0,Urhahn denied there were any racial undertones to his comment during an internal affairs interview according to documents published by WGXA,Houston Chronicle
31549,790908,Liberal,1,In looking at profiles of jurors its looking for individuals who are going to be most receptive to whatever the evidence is that comes out she added,CNN
98906,135550,Conservative,0,He tried to protect himself and ended up being the victim here in what can only be called a modern-day lynching I think Moore said,Fox
77727,102785,Liberal,1,Thank you for being angry she told participants in one early march explaining that she had spoken with the city’s police chief about the need for de-escalation and restraint,NY Times
58066,692610,Conservative,0,As the first of  guilty verdicts were read Arbery’s father had to leave the courtroom after leaping up and shouting,Chicago Tribune
84531,496008,Conservative,0,According to prosecutors and court documents Rittenhouse shot and killed -year-old Joseph Rosenbaum of Kenosha after Rosenbaum threw a plastic bag at Rittenhouse missing him and tried to wrestle his rifle away,Fox
97511,397708,Liberal,1,Rittenhouse has been painted by supporters on the right -- including foes of the Black Lives Matter movement -- as a patriot who took a stand against lawlessness by demonstrators and exercised his gun rights,Los Angles
38458,856464,Conservative,0,An immediate bipartisan push for justice will help to make sure that Ahmaud Arbery did not die in vain while bringing a country closer together around the principles that make us all proud Americans,Fox
37285,987538,Liberal,1,For others it was a brutal disappointment further evidence that the courts give white men a pass for their actions Shaila Dewan and Mitch Smith reported,NY Times
80239,430488,Liberal,1,The officer identified a man pacing back and forth nearby as Travis McMichael and two other men seen in the dash cam video as Gregory McMichael and Bryan,CNN
89935,987548,Liberal,1,In this case those concerned about racial justice can join in the relief of Ahmaud Arberys family friends and community in knowing his killers will not go unpunished for having stolen a life,CNN
56405,332202,Conservative,0,This combo of booking photos provided by the Glynn County Ga Detention Center shows from left Travis McMichael his father Gregory McMichael and William Roddie Bryan Jr Glynn County Detention Center via APTravis McMichael testified last week that he tried to talk to Arbery whom he recognized from the surveillance footage but the young man kept running,Fox
95397,823729,Liberal,1,Kyle’s going to have some hard choices in his life about the direction he goes and what he stands for Richards said,Washington post
43275,299452,Liberal,1,I come from flat models where we all do the work and theres no hierarchy said Cullors who started out in the arts and local organizing,Los Angles
47612,627133,Conservative,0,A jury last Friday found Rittenhouse not guilty on charges of homicide attempted homicide and reckless endangering in the deaths of Joseph Rosenbaum  and Anthony Huber  and the wounding of Gaige Grosskreutz now,Houston Chronicle
22695,954823,Liberal,1,Video has great value but it is not the experience or the perception of the people involved in the event he said,Washington post
92887,266705,Conservative,0,Police district attorney disagreementLaw enforcement in Brunswick has a checkered history and over the past decade police have faced numerous lawsuits and increasing scrutiny,Chicago Tribune
45257,168405,Conservative,0,Ahmaud Arbery killers get life in prison no parole for father sonAhmaud Arberys father Marcus Arbery center sits in the courtroom with other family members during the sentencing of Greg McMichael his son Travis McMichael and a neighbor William Roddie Bryan in the Glynn County Courthouse Friday Jan   in Brunswick Ga Stephen  MortonAPBRUNSWICK GA,Chicago Tribune
31287,954838,Conservative,0,He has been defamed by pretty much every mainstream media outlet and untold numbers of celebrities and politicians and the current president of the United States Pierce said,Fox
42172,594391,Conservative,0,Kenosha County Circuit Judge Bruce Schroeder sent the jury out of the courtroom before blasting the prosecutor whose questioning of Rittenhouse led to two fierce objections from the teen’s defense,Chicago Tribune
76876,463321,Conservative,0,Greg McMichael told police they pursued Arbery suspecting he was a burglar after security cameras previously recorded him entering a nearby home under construction,Fox
49289,889319,Liberal,1,She said that attorneys for Arbery’s parents previously indicated they would not oppose a plea deal but that on Sunday after several meetings it was apparent that that was not accurate,Washington post
67125,791032,Conservative,0,The ReidOut host urged viewers to think about the families of those who died hailing Joseph Rosenbaum and Anthony Huber for defending Black lives saying they paid for it with their lives and comparing them to White allies who helped Black Americans in the Civil Rights Movement,Fox
75948,528890,Conservative,0,Blake’s uncle Justin who has been quietly protesting outside the courthouse each day said he was unmoved by Rittenhouse’s tears,Chicago Tribune
84413,102908,Conservative,0,Many on the political right have hailed Rittenhouse as a hero who sought to protect Kenosha from violence while many on the left have viewed Rittenhouse as a trigger-happy teenager who recklessly escalated a chaotic situation - and say his acquittal is a sign of deep bias in the justice system,Houston Chronicle
83683,659965,Liberal,1,Livestreamers such as Mercado have become ubiquitous at protests seeking to provide an unedited view into movements that often reflect an angry and divided America,Los Angles
85446,922109,Conservative,0,He traveled to Kenosha which is about  miles from his home on Aug  after pleas went out on social media to protect businesses during protests over the shooting of a Black man Jacob Blake by a white police officer two days earlier,Houston Chronicle
91439,659972,Liberal,1,What happened in the trialProsecutors called  witnesses over the course of six days as they sought to show Rittenhouse acted recklessly that night and provoked Rosenbaum by pointing the rifle at him setting off the ensuing series of events,CNN
91462,791046,Liberal,1,The teenager shot twice at an unidentified person who kicked him he fatally shot Huber who charged him holding a skateboard and he then shot Grosskreutz who was holding a handgun in the arm,CNN
15043,823817,Conservative,0,More than two months passed before Gregory McMichael  and Travis McMichael  were arrested May  on charges of felony murder and aggravated assault,Chicago Tribune
23199,463371,Liberal,1,In an interview with Fox News host Sean Hannity Wendy Rittenhouse was asked about a video that Biden tweeted in September  when he was a presidential nominee,Washington post
52628,496140,Liberal,1,A Georgia state investigator has said that Mr Bryan told authorities that he heard Travis McMichael use a racist slur shortly after shooting Mr Arbery,NY Times
11220,856590,Conservative,0,The case was part of an extraordinary confluence of trials that reflected the deep divide over race in the United States In Georgia three white men are on trial in the killing of Ahmaud Arbery while in Virginia a trial is underway in a lawsuit over the deadly white-supremacist rally held in Charlottesville in,Houston Chronicle
67125,102928,Conservative,0,Appearing on her own show as a guest Reid began by saying she was not at all surprised by the Rittenhouse verdict which she said was expected,Fox
95403,397853,Conservative,0,Wednesday asking to see videos of Gaige Grosskreutz’s brief interaction with Rittenhouse after he shot Joseph Rosenbaum and regular and slow-motion video of all three shootings,Chicago Tribune
35460,365090,Liberal,1,Greg McMichael told police that he spotted Arbery running past his house that day in February  and went to tell his son,Washington post
64391,496168,Liberal,1,Last June Mr Kemp signed into law a new hate crimes measure that imposes additional penalties for crimes motivated by bias,NY Times
90930,561705,Liberal,1,The most severe charge Rittenhouse faced was a first-degree intentional homicide charge for the fatal shooting of Anthony Huber count,CNN
35971,692778,Liberal,1,Jurors heard closing arguments Monday after  days of witness testimony in a case that many view as a test of the justice system’s regard for Black lives,Washington post
23199,463403,Liberal,1,As for the moment when Grosskreutz is shown lifting his right arm which holds a pistol Binger said the action was not voluntary because the bicep was severed,Washington post
54977,135727,Conservative,0,Lee Merritt an attorney for Arbery’s mother said in a statement Thursday that prosecutors must be held accountable when they interfere with investigations in order to protect friends and law enforcement,Chicago Tribune
96621,528944,Liberal,1,At that point there is no evidence to suggest that Bryan did anything coming out of his driveway but creep out of his driveway to try to cut off Mr Arbery Gough said,CNN
80564,463434,Conservative,0,All four men were in the southeast Wisconsin town amid social unrest following the shooting of Jacob Blake a Black man by a white police officer,Chicago Tribune
54651,463442,Liberal,1,I’ve been through a lot of trials over the decades Mr Sharpton the -year-old civil rights veteran and TV personality said in an interview with TMZ,NY Times
77727,627284,Liberal,1,It was intended to be a scrupulously mainstream event the mayor police chief and county sheriff would all be attending,NY Times
35971,856672,Liberal,1,But she called him nothing more than a looky-loo saying that trespassing — a misdemeanor — would not legally justify the defendants’ actions,Washington post
11667,234087,Liberal,1,She said that Mr Bryan who had joined the chase later than the McMichaels tried to hit Mr Arbery four times with his pickup truck at one point forcing him into a ditch,NY Times
31875,496234,Liberal,1,Yadav a businessman active in Republican politics who also knows Johnson said he and many friends believe Travis McMichael acted in self-defense,Washington post
52522,529004,Liberal,1,Notably Carlsons Fox News colleague Gillian Turner pointed out earlier on Monday that while Rittenhouse was acquitted hes not a hero here,CNN
